Brand,Model,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price,
Asus,Asus Vivobook Pro 15 OLED ,AMD Ryzen 9,16GB,512GB SSD,"15.6""",Windows 10,NVIDIA GeForce,1.7,2,385000.00,
Asus,Asus Vivobook Pro 15 OLED M3500QC,AMD Ryzen 7,16GB,512GB SSD,"15.6""",Windows 10,NVIDIA GeForce,1.7,2,317000.00,
Asus,Asus Vivobook Pro 15 OLED M3500QC,AMD Ryzen 5,8GB,512GB SSD,"15.6""",Windows 10,NVIDIA GeForce,1.7,2,297000.00,
Asus,Asus TUF Gaming F15 FX506HCB-HN169T,Intel Core i7,8GB ,512GB SSD,"15.6""",Windows 10,GTX 1650,1.7,2,281000.00,
Asus,Asus X515JA,Intel Core i3,8GB,256GB SSD,"15.6""",Windows 10,Intel ,1.8,1,122000.00,
Asus,Asus X515E,Intel Core i3,8GB,256GB SSD,"15.6"" ",Windows 10,Intel ,1.8,1,129000.00,
Asus,Asus Vivobook F512da-wb31,AMD Ryzen 3,4GB,128GB SSD,"15.6""",Windows 10 ,Intel ,1.8,1,119500.00,
Asus,Asus L510MA,Intel Celeron,4GB,128GB SSD,"15.6""",Windows 10,Intel ,1.8,1,85000.00,
Acer,Acer Predator Helios 300,Intel Core i7,16GB,1TB SSD,"15.6""",Windows 11,8GB NVIDIA GeForce,2.5,3,520000.00,
Acer,Acer Swift 3 SF314,AMD Ryzen 5,8GB ,512GB SSD,"15.6""",Windows 10,AMD,1.2,2,190000.00,
Acer,ACER A515-1135G7,Intel Core i5,8GB,512GB SSD,"15.6""",Windows 10,2GB MX350,1.4,1,152000.00,
Acer,ACER A515-i5 1135G7,intel Core i5,4GB,1TB,"15.6""",Windows 10,Intel ,1.4,1,134000.00,
Acer,Acer A515-1115G4,Intel Core i3,4GB,256GB SSD,"15.6""",Windows 10,Intel ,1.4,1,105490.00,
Dell,Dell Inspiron 3511,Intel Core i5,4GB,1TB ,"15.6""",Windows 11,2GB NVIDIA GeForce,1.6,2,208500.00,
Dell,Dell Vostro,Intel Core i7,8GB,512GB SSD,"15.6""",Windows 11,Intel ,1.9,3,240000.00,
Dell,Dell Vostro 3400,Intel Core i5,8GB,512GB SSD,"14.0""",Windows 11,Intel ,2.25,3,195000.00,
Dell,Dell Vostro 3510,Intel Core i5,4GB,1TB,"15.6""",Windows 11,Intel ,1.6,3,170000.00,
Dell,Dell Vostro 3510,Intel Core i3,4GB ,1TB,"15.6""",Windows 11,Intel ,2,3,129000.00,
Dell,Dell Inspiron 5415,AMD Ryzen 7,8GB,512GB SSD,"14.0""",Windows 10,AMD,1.6,2,220000.00,
Dell,Dell Vostro 3400,Intel Core i5,4GB,1TB ,"14.0""",Linux,Intel ,1.6,3,172000.00,
Dell,Dell Inspiron 3502,Pentium Silver,4GB,1TB,"15.6""",Windows 10,Intel ,2.54,1,99000.00,
Dell,Dell Inspiron 5405,AMD Ryzen 7,8GB,512GB SSD,"14.0""",Windows 10,AMD,2.98,2,210000.00,
Dell,Dell Inspiron 5510,Intel Core i7,8GB,512GB SSD,"15.6""",Windows 10,Intel ,3.2,2,245000.00,
Dell,Dell Inspiron 5510 ,Intel Core i5,8GB,512Gb SSD,"15.6""",Windows 10,Intel ,2.9,2,219000.00,
Dell,Dell Inspiron 5515,AMD Ryzen 7,8GB,512GB SSD,"15.6""",Windows 10,AMD,1.9,2,216000.00,
Dell,Dell Inspiron G15 5515,AMD Ryzen 7,16GB,512GB SSD,"15.6""",Windows 11,4GB GeForce RTX 3050Ti,2.54,2,330000.00,
Dell,Dell Inspiron G15 5515,AMD Ryzen 5,8GB,256GB SSD,"15.6""",Windows 11 ,4GB GeForce RTX 3050Ti,1.75,2,265000.00,
Dell,Dell Inspiron 3511,Intel Core i7,8GB,512GB SSD,"15.6""",Windows 10,2GB NVIDIA GeForce,1.6,2,249000.00,
Dell,DELL XPS 9510,Intel Core i7,16GB,1TB SSD,"15.6""",Windows 10,4GB GeForce RTX 3050Ti,1.9,2,740000.00,
Dell,Dell Inspiron 3511 ,Intel Core i3,4GB ,256GB SSD,"15""6",Windows 10,Intel ,2.25,2,135000.00,
Dell,Dell Inspiron 5415,AMD Ryzen 7,8GB,512GB SSD,"14.0""",Windows 10,AMD,2.25,2,210000.00,
Dell,Dell Inspiron 5415,AMD Ryzen 5,8GB,256GB SSD,"14.0""",Windows 10,AMD,3,2,166000.00,
Dell,Dell Vostro 3500,Intel Core i3,4GB,1TB,"15.6""",Windows 10,Intel ,1.6,3,260000.00,
Dell,Dell Inspiron 5505,AMD Ryzen 5,8GB,256GB SSD,"15.6""",Windows 10,AMD,2.25,2,158000.00,
Dell,Dell inspiron 5505,AMD Ryzen 7,8GB,512GB SSD,"15.6""",Windows 10,AMD,2.98,2,195000.00,
Dell,Dell inspiron 5405,AMD Ryzen 5,8GB,256GB SSD,"14.0""",Windows 10,AMD,1.6,2,160000.00,
Dell,Dell Inspiron 3501,Intel Core i5,8GB,512GB SSD,"15.6""",Windows 10,2GB NVIDIA GeForce,2.3,2,188000.00,
Dell,Dell Inspiron 3501,Intel Core i5,4GB,1TB,"15.6""",Windows 10,2GB NVIDIA GeForce,1.75,2,173000.00,
Dell,Dell Inspiron 3501,Intel Core i5,8GB,1TB,"15.6""",Windows 10,Intel ,1.96,2,165000.00,
Dell,Dell Inspiron 5415,AMD Ryzen 5,8GB,256GB SSD,"14.0""",Windows 10,AMD,2.25,2,169000.00,
Dell,Dell Latitude 3410,Intel Core i5,8GB,1TB,"14.0""",Windows 11,Intel ,1.9,3,188000.00,
Dell,Dell Inspiron 5515,AMD Ryzen 5,8GB,256GB SSD,"15.6""",Windows 10,AMD,1.9,2,172000.00,
Dell,Dell G3 3500,Intel Core i5,8GB,256GB SSD,"15.6""",Windows 10,4GB NVIDIA GeForce,1.96,2,229000.00,
Dell,Dell Inspiron 5402,Intel Core i7,8GB,512GB SSD,"14.0""",Windows 10,2GB NVIDIA GeForce,1.75,2,200000.00,
Dell,Dell Inspiron 5402,Intel Core i5,8GB,512GB SSD,"14.0""",Windows 10,2GB NVIDIA GeForce,1.96,2,175000.00,
Dell,Dell Inspiron 5502,Intel Core i5,8GB,512GB SSD,"15.6""",Windows 10,2GB NVIDIA GeForce,2.25,2,185000.00,
Dell,Dell Inspiron 5502,Intel Core i5,8GB,512GB SSD,"15.6""",Windows 10,2GB NVIDIA GeForce,1.9,2,215000.00,
Dell,Dell Inspiron Gaming G3 3500,Intel Core i7,8GB,512GB SSD,"15.6""",Windows 10,4GB NVIDIA GeForce,1.9,2,235000.00,
Dell,Dell Vostro 5402,Intel Core i5,8GB,256GB SSD,"14.0""",Linux,Intel ,1.96,3,155000.00,
