Model,Brand,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price
Chromebook 11,Acer,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB Flash Storage,"11.6""",Chrome OS,Intel HD Graphics 400,1.35,3,#REF!
Swift 3,Acer,Intel Core i3 7100U 2.4GHz,8GB,128GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.5,2,#REF!
Blade Pro,Razer,Intel Core i7 7820HK 2.9GHz,32GB,512GB SSD,"17.3""",Windows,Nvidia GeForce GTX 1080,3.49,2,#REF!
Thinkpad X1,Lenovo,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.1,2,#REF!
VivoBook Max,Asus,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,"15.6""",Linux,Nvidia GeForce 920,2.1,2,#REF!
Thinkpad T460,Lenovo,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.7,2,#REF!
ThinkPad T470s,Lenovo,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,1.32,2,#REF!
Alienware 15,Dell,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1070,3.21,2,#REF!
Rog GL702VS-BA023T,Asus,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1070,2.9,3,#REF!
Satellite Pro,Toshiba,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 620,2,2,#REF!
N42-20 Chromebook,Lenovo,Intel Celeron Quad Core N3160 1.6GHz,4GB,16GB Flash Storage,"14.0""",Chrome OS,Intel HD Graphics 400,1.5,2,#REF!
R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10),Asus,Intel Core i5 7200U 2.5GHz,8GB,128GB HDD,"15.6""",Windows,Intel HD Graphics 620,2.3,2,#REF!
Rog GL702VM-GC017T,Asus,Intel Core i7 6700HQ 2.6GHz,16GB,512GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1060,2.73,2,#REF!
Alienware 17,Dell,Intel Core i7 7700HQ 2.8GHz,32GB,512GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1070,4.42,2,#REF!
ProBook 470,HP,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,"17.3""",Windows,Nvidia GeForce 930MX,2.63,2,#REF!
Vostro 3568,Dell,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.18,2,#REF!
EliteBook 840,HP,Intel Core i7 6500U 2.5GHz,8GB,512GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.54,3,#REF!
Vostro 3568,Dell,Intel Core i7 7500U 2.7GHz,4GB,256GB SSD,"15.6""",Windows,AMD Radeon R5 M420,2.18,2,#REF!
Chromebook X360,HP,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,"11.6""",Chrome OS,Intel HD Graphics 500,1.4,2,#REF!
ZenBook UX310UQ-GL026T,Asus,Intel Core i5 6200U 2.3GHz,8GB,512GB SSD,"13.3""",Windows,Nvidia GeForce 940M,1.45,2,#REF!
EliteBook x360,HP,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.28,2,#REF!
EliteBook 840,HP,Intel Core i7 6500U 2.5GHz,8GB,512GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.54,2,#REF!
250 G6,HP,Intel Celeron Dual Core N3060 1.6GHz,4GB,128GB SSD,"15.6""",No OS,Intel HD Graphics 400,1.86,2,#REF!
Rog GL502VM-DS74,Asus,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1060,2.1,2,#REF!
