Model,Brand,Processor,RAM,Storage Capacity,Display Size,OS,GPU,Weight,Warranty,Price
Aspire F5-573G,Acer,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 950M,2.4,2,#REF!
Inspiron 5567,Dell,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,"15.6""",Windows,AMD Radeon R7 M445,2.36,2,#REF!
GS70 Stealth,MSI,Intel Core i7 6700HQ 2.6GHz,8GB,256GB SSD,"17.3""",Windows,Nvidia GeForce GTX 965M,2.6,2,#REF!
250 G5,HP,Intel Pentium Quad Core N3710 1.6GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 405,1.96,2,#REF!
G752VY-GC162T (i7-6700HQ/16GB/1TB,Asus,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 980M,4.3,2,#REF!
Latitude E5270,Dell,Intel Core i3 6100U 2.3GHz,4GB,500GB HDD,"12.5""",Windows,Intel HD Graphics 520,1.5,3,#REF!
Latitude E5270,Dell,Intel Core i3 6100U 2.3GHz,4GB,128GB SSD,"12.5""",Windows,Intel HD Graphics 520,1.5,2,#REF!
Chromebook 15,Acer,Intel Celeron Dual Core 3205U 1.5GHz,4GB,16GB SSD,"15.6""",Chrome OS,Intel HD Graphics,2.2,2,#REF!
ZBook 17,HP,Intel Core i7 6700HQ 2.6GHz,8GB,1TB HDD,"17.3""",Windows,AMD FirePro W6150M,3,2,#REF!
Legion Y520-15IKBN,Lenovo,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,"15.6""",Windows,Nvidia GeForce GTX 1050 Ti,2.4,2,#REF!
Latitude E5270,Dell,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 520,1.5,2,#REF!
GE72 Apache,MSI,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 960M,2.9,2,#REF!
Yoga 500-15ISK,Lenovo,Intel Core i5 6200U 2.3GHz,4GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,2.1,2,#REF!
15-bw011nv (A6-9220/4GB/1TB/FHD/W10),HP,AMD A6-Series 9220 2.5GHz,4GB,1TB HDD,"15.6""",Windows,AMD Radeon R4,2.1,3,#REF!
Rog GL552VW-CN470T,Asus,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 960M,2.59,2,#REF!
EliteBook 1030,HP,Intel Core M 6Y54 1.1GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 515,1.16,2,#REF!
Vostro 3559,Dell,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"15.6""",Windows,AMD Radeon R5 M315,2.24,2,#REF!
V110-15ISK (i3-6006U/4GB/128GB/W10),Lenovo,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,"15.6""",Windows,Intel HD Graphics 520,2.1,2,#REF!
Spectre Pro,HP,Intel Core i7 6500U 2.5GHz,8GB,512GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.16,2,#REF!
Yoga Book,Lenovo,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,"10.1""",Android,Intel HD Graphics 400,0.69,2,#REF!
XPS 13,Dell,Intel Core i7 7560U 2.4GHz,8GB,256GB SSD,"13.3""",Windows,Intel Iris Plus Graphics 640,1.23,2,#REF!
IdeaPad Y900-17ISK,Lenovo,Intel Core i7 6820HK 2.7GHz,16GB,256GB SSD +  1TB Hybrid,"17.3""",Windows,Nvidia GeForce GTX 980M,4.6,3,#REF!
Blade Stealth,Razer,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 520,1.25,2,#REF!
Portege X30-D-10K,Toshiba,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.05,2,#REF!
Rog GL752VW-T4308T,Asus,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 960M,3.52,2,#REF!
V131 (X5-Z8350/4GB/32GB/FHD/W10),Vero,Intel Atom X5-Z8350 1.44GHz,4GB,32GB Flash Storage,"13.3""",Windows,Intel HD Graphics 400,1.35,2,#REF!
Spectre Pro,HP,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.16,2,#REF!
EliteBook 1040,HP,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.43,2,#REF!
Latitude E5570,Dell,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"15.6""",Linux,Intel HD Graphics 520,2.09,2,#REF!
VivoBook Max,Asus,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 620,2,2,#REF!
ThinkPad Yoga,Lenovo,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.8,2,#REF!
Yoga Book,Lenovo,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,"10.1""",Windows,Intel HD Graphics 400,0.69,2,#REF!
EliteBook 820,HP,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 520,1.26,3,#REF!
Legion Y520-15IKBN,Lenovo,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,"15.6""",No OS,Nvidia GeForce GTX 1060,2.4,2,#REF!
Omen -,HP,Intel Core i5 6300HQ 2.3GHz,8GB,128GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1060,3.35,2,#REF!
15-bs078cl (i7-7500U/8GB/2TB/W10),HP,Intel Core i7 7500U 2.7GHz,8GB,2TB HDD,"15.6""",Windows,Intel HD Graphics 620,2.04,2,#REF!
ThinkPad P40,Lenovo,Intel Core i7 6600U 2.6GHz,8GB,512GB SSD,"14.0""",Windows,Nvidia Quadro M500M,1.8,2,#REF!
L403NA-GA013TS (N3350/4GB/32GB/W10),Asus,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,"14.0""",Windows,Intel HD Graphics 500,1.5,2,#REF!
250 G6,HP,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,1.84,2,#REF!
Aspire E5-576G,Acer,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,"15.6""",Windows,Nvidia GeForce 940MX,2.23,2,#REF!
IdeaPad 500-15ISK,Lenovo,Intel Core i7 6500U 2.5GHz,16GB,1TB Hybrid,"15.6""",Windows,AMD Radeon R7 M360,2.5,2,#REF!
ZBook 17,HP,Intel Core i7 6700HQ 2.6GHz,8GB,256GB SSD,"17.3""",Windows,Nvidia Quadro M3000M,3,2,#REF!
Inspiron 5567,Dell,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,"15.6""",Windows,AMD Radeon R7 M445,2.5,2,#REF!
GT72S Dominator,MSI,Intel Core i7 6820HQ 2.7GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 980M,3.78,2,#REF!
EliteBook 850,HP,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,1.88,2,#REF!
ThinkPad X1,Lenovo,Intel Core i7 6600U 2.6GHz,16GB,512GB SSD,"14.0""",Windows,Intel HD Graphics 520,2.8,2,#REF!
GP62M 7RDX,MSI,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.4,2,#REF!
Spectre Pro,HP,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.48,2,#REF!
ZBook 15,HP,Intel Core i7 6700HQ 2.6GHz,8GB,256GB SSD,"15.6""",Windows,Nvidia Quadro M1000M,2.59,2,#REF!
Spectre Pro,HP,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.48,2,#REF!
ZBook Studio,HP,Intel Core i7 6700HQ 2.6GHz,8GB,256GB SSD,"15.6""",Windows,Nvidia Quadro M1000M,2,2,#REF!
EliteBook 820,HP,Intel Core i7 6500U 2.50GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 520,1.26,2,#REF!
Vostro 5568,Dell,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"15.6""",Windows,Nvidia GeForce 940MX,2.18,2,#REF!
EliteBook 850,HP,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,1.88,2,#REF!
ThinkPad X1,Lenovo,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.27,2,#REF!
V110-15ISK (i3-6006U/4GB/1TB/No,Lenovo,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,"15.6""",No OS,Intel HD Graphics 520,1.9,2,#REF!
15-BA015wm (E2-7110/4GB/500GB/W10),HP,AMD E-Series 7110 1.8GHz,4GB,500GB HDD,"15.6""",Windows,AMD Radeon R2 Graphics,1.86,1,#REF!
B51-80 (i5-6200U/8GB/1TB/Radeon,Lenovo,Intel Core i5 6200U 2.3GHz,8GB,1TB HDD,"15.6""",No OS,AMD Radeon R5 M330,2.32,1,#REF!
Inspiron 7567,Dell,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050Ti,2.62,1,#REF!
XPS 15,Dell,Intel Core i5 6300HQ 2.3GHz,8GB,256GB SSD,"15.6""",Windows,Nvidia GeForce 960M,2.04,1,#REF!
15-bw002nv (A6-9220/4GB/256GB/Radeon,HP,AMD A6-Series A6-9220 2.5GHz,4GB,256GB SSD,"15.6""",Windows,AMD Radeon 520,1.91,2,#REF!
GP72M 7REX,MSI,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1050 Ti,2.7,2,#REF!
ThinkPad T460s,Lenovo,Intel Core i7 6600U 2.6GHz,12GB,512GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.4,2,#REF!
B51-80 (i5-6200U/8GB/1008GB/Radeon,Lenovo,Intel Core i5 6200U 2.3GHz,8GB,1TB Hybrid,"15.6""",Windows,AMD Radeon R5 M330,2.5,2,#REF!
Spectre Pro,HP,Intel Core i7 6600U 2.6GHz,8GB,512GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.48,2,#REF!
ThinkPad T460,Lenovo,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.7,2,#REF!
GS40 Phantom,MSI,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,"14.0""",Windows,Nvidia GeForce GTX 970M,1.7,2,#REF!
Pavilion 15-cb003nv,HP,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.62,2,#REF!
IdeaPad 310-15ISK,Lenovo,Intel Core i3 6006U 2.0GHz,8GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 520,2.2,2,#REF!
250 G4,HP,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"15.6""",No OS,Intel HD Graphics 520,2.1,3,#REF!
Inspiron 7567,Dell,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050 Ti,2.62,2,#REF!
ThinkPad T570,Lenovo,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,1.95,2,#REF!
320-15ISK (i3-6006U/4GB/1TB/GeForce,Lenovo,Intel Core i3 6006U 2GHz,4GB,1TB HDD,"15.6""",Windows,Nvidia GeForce 920MX ,2.2,2,#REF!
Stream 14-AX000nv,HP,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,"14.0""",Windows,Intel HD Graphics 400,1.44,2,#REF!
PL60 7RD,MSI,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.2,2,#REF!
250 G5,HP,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,1.96,2,#REF!
ProBook 450,HP,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,"15.6""",Windows,Intel UHD Graphics 620,2.1,0,#REF!
X553SA-XX021T (N3050/4GB/500GB/W10),Asus,Intel Celeron Dual Core N3050 1.6GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics,2.2,2,#REF!
V110-15ISK (i5-6200U/4GB/500GB/No,Lenovo,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"15.6""",No OS,Intel HD Graphics 520,2.1,3,#REF!
IdeaPad 510-15IKB,Lenovo,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,"15.6""",No OS,Nvidia GeForce 940MX,2.2,1,#REF!
UX410UA-GV097T (i3-7100U/4GB/256GB/FHD/W10),Asus,Intel Core i3 7100U 2.4GHz,4GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 620,2,2,#REF!
B51-80 (i7-6500U/4GB/1008GB/FHD/W7),Lenovo,Intel Core i7 6500U 2.5GHz,4GB,1TB Hybrid,"15.6""",Windows,Intel HD Graphics 520,2.32,3,#REF!
IdeaPad Y700-15ISK,Lenovo,Intel Core i7 6700HQ 2.6GHz,16GB,512GB SSD,"15.6""",Windows,Nvidia GeForce GTX 960,3.31,2,#REF!
GS60 Ghost,MSI,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 970M,1.91,3,#REF!
ProBook 450,HP,Intel Core i3 6100U 2.3GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,2.07,2,#REF!
ThinkPad X1,Lenovo,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.36,2,#REF!
IdeaPad 310-15IKB,Lenovo,Intel Core i7 7500U 2.7GHz,6GB,256GB SSD,"15.6""",Windows,Nvidia GeForce 920M,1.54,2,#REF!
Vostro 5568,Dell,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"15.6""",Linux,Nvidia GeForce GT 940MX,1.98,2,#REF!
Aspire 3,Acer,Intel Celeron Dual Core N3350 2GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 500,2.1,2,#REF!
Pavilion 15-BC000nv,HP,Intel Core i7 6700HQ 2.6GHz,6GB,1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 960M,2.18,2,#REF!
Rog GL552VW-DM201T,Asus,Intel Core i7 6700HQ 2.6GHz,8GB,256GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 960M,2.591,1,#REF!
Inspiron 5578,Dell,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.09,1,#REF!
Aspire E5-576G,Acer,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,"15.6""",Windows,Nvidia GeForce 940MX,2.23,1,#REF!
XPS 13,Dell,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,"13.3""",Linux,Intel HD Graphics 520,1.23,1,#REF!
Predator G9-793,Acer,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1070,4.2,3,#REF!
Legion Y520-15IKBN,Lenovo,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.4,2,#REF!
Chromebook Plus,Samsung,Samsung Cortex A72&A53 2.0GHz,4GB,32GB Flash Storage,"12.3""",Chrome OS,ARM Mali T860 MP4,1.15,1,#REF!
250 G6,HP,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 620,1.86,1,#REF!
"MacBook 12""",Apple,Intel Core M 1.1GHz,8GB,256GB Flash Storage,"12.0""",Mac OS,Intel HD Graphics 5300,0.92,1,#REF!
Inspiron 7378,Dell,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.6,2,#REF!
Pavilion Power,HP,Intel Core i7 7700HQ 2.8GHz,12GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.21,3,#REF!
V110-15ISK (i3-6006U/4GB/1TB/Radeon,Lenovo,Intel Core i3 6006U 2GHz,4GB,1TB HDD,"15.6""",No OS,AMD Radeon R5 M430,1.9,3,#REF!
Rog G752VY-GC229T,Asus,Intel Core i7 6700HQ 2.6GHz,16GB,512GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 980M,4.3,3,#REF!
Aspire 3,Acer,Intel Celeron Dual Core N3350 2GHz,4GB,1TB HDD,"15.6""",Linux,Intel HD Graphics 500,2.1,3,#REF!
GS73VR 7RF,MSI,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1060,2.43,2,#REF!
Inspiron 5567,Dell,Intel Core i3 6006U 2.0GHz,4GB,128GB SSD,"15.6""",Windows,AMD Radeon R7 M440,2.3,3,#REF!
IdeaPad 310-15ISK,Lenovo,Intel Core i7 6500U 2.5GHz,8GB,500GB HDD,"15.6""",No OS,Nvidia GeForce 920MX,2.2,1,#REF!
Inspiron 5579,Dell,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,"15.6""",Windows,Intel UHD Graphics 620,2,2,#REF!
XPS 13,Dell,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.2,2,#REF!
FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce,Asus,Intel Core i7 6700HQ 2.6GHz,8GB,1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1060,2.2,2,#REF!
Inspiron 5567,Dell,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,AMD Radeon R7 M445,2.36,2,#REF!
15-bs025nv (i5-7200U/8GB/256GB/W10),HP,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,1.91,2,#REF!
IdeaPad 320-15AST,Lenovo,AMD E-Series 9000 2.2GHz,4GB,500GB HDD,"15.6""",Windows,AMD Radeon R2 Graphics,2.2,2,#REF!
Aspire E5-774G,Acer,Intel Core i3 6006U 2.0GHz,8GB,1TB HDD,"17.3""",Windows,Nvidia GeForce 940MX,3.3,2,#REF!
Rog Strix,Asus,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1070,2.2,2,#REF!
"MacBook 12""",Apple,Intel Core M 1.2GHz,8GB,512GB Flash Storage,"12.0""",Mac OS,Intel HD Graphics 515,0.92,2,#REF!
FX502VM-AS73 (i7-7700HQ/16GB/1TB,Asus,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1060,2.2,2,#REF!
GS73VR Stealth,MSI,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1060,2.43,2,#REF!
Inspiron 7579,Dell,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 620,2.191,3,#REF!
ROG Strix,Asus,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1060,2.9,2,#REF!
C740-C9QX (3205U/2GB/32GB/Chrome,Acer,Intel Celeron Dual Core 3205U 1.5GHz,2GB,32GB SSD,"11.6""",Chrome OS,Intel HD Graphics,1.3,2,#REF!
E5 774G,Acer,Intel Core i3 6006U 2GHz,4GB,1TB HDD,"17.3""",Windows,Nvidia GeForce 940MX,3.3,2,#REF!
IdeaPad 320-17IKB,Lenovo,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,"17.3""",No OS,Intel HD Graphics 620,2.8,2,#REF!
IdeaPad Y700-15ISK,Lenovo,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 960<U+039C>,2.6,2,#REF!
SP714-51 (i7-7Y75/8GB/256GB/FHD/W10),Acer,Intel Core i7 7Y75 1.3GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 615,1.2,2,#REF!
Thinkpad T560,Lenovo,Intel Core i7 6600U 2.6GHz,8GB,256GB SSD,"15.6""",Windows,Intel HD Graphics 520,2.3,2,#REF!
GP62MVR 6RF,MSI,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1060,2.2,3,#REF!
15-bw009nv (A12-9720P/6GB/1TB/Radeon,HP,AMD A12-Series 9720P 2.7GHz,6GB,1TB HDD,"15.6""",Windows,AMD Radeon 530,2.1,2,#REF!
Latitude E7270,Dell,Intel Core i5 6300U 2.4GHz,8GB,256GB SSD,"12.5""",Windows,Intel HD Graphics 520,1.26,2,#REF!
Inspiron 5578,Dell,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,"15.0""",Windows,Intel HD Graphics 620,2.08,2,#REF!
X540SA-RBPDN09 (N3710/4GB/1TB/W10),Asus,Intel Pentium Quad Core N3710 1.6GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 405,2.65,2,#REF!
XPS 13,Dell,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.29,2,#REF!
Vostro 3568,Dell,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,"15.6""",Linux,Intel HD Graphics 520,2.18,2,#REF!
IdeaPad Y700-15ISK,Lenovo,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 960M,2.6,2,#REF!
GL62M 7RDX,MSI,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050,2.2,3,#REF!
ThinkPad Yoga,Lenovo,Intel Core i7 6500U 2.50GHz,16GB,512GB SSD,"12.5""",Windows,Intel HD Graphics 520,1.3,2,#REF!
Blade Pro,Razer,Intel Core i7 7700HQ 2.8GHz,16GB,1TB SSD,"14.0""",Windows,Nvidia GeForce GTX 1060,1.95,2,#REF!
Inspiron 3567,Dell,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 620,2.3,2,#REF!
GE72VR Apache,MSI,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"17.3""",Windows,Nvidia GeForce GTX 1060,2.7,2,#REF!
MacBook Air,Apple,Intel Core i5 1.6GHz,4GB,256GB Flash Storage,"11.6""",Mac OS,Intel HD Graphics 6000,1.08,2,#REF!
15-bs023nv (i3-6006U/4GB/1TB/FHD/W10),HP,Intel Core i3 6006U 2GHz,4GB,1TB HDD,"15.6""",Windows,Intel HD Graphics 520,2.1,2,#REF!
EliteBook 840,HP,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.54,2,#REF!
Vostro 3559,Dell,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics 520,2.24,2,#REF!
GL62 6QF,MSI,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 960M,2.3,2,#REF!
ThinkPad 13,Lenovo,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,"13.3""",Windows,Intel HD Graphics 620,1.4,2,#REF!
IdeaPad 320-15ABR,Lenovo,AMD A12-Series 9720P 3.6GHz,6GB,256GB SSD,"15.6""",Windows,AMD Radeon 530,2.2,3,#REF!
ZenBook UX310UA-WB71,Asus,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 520,1.45,2,#REF!
Aspire ES1-572,Acer,Intel Core i3 6006U 2.0GHz,4GB,500GB HDD,"15.6""",Linux,Intel HD Graphics 520,2.4,2,#REF!
Inspiron 7779,Dell,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,"17.3""",Windows,Nvidia GeForce 940MX,2.77,2,#REF!
EliteBook 840,HP,Intel Core i5 6200U 2.3GHz,4GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.54,2,#REF!
Rog GL553VE-FY052T,Asus,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1050 Ti,2.5,2,#REF!
Latitude 5480,Dell,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,"14.0""",Windows,Intel HD Graphics 620,1.6,2,#REF!
Rog GL502VS,Asus,Intel Core i7 6700HQ 2.6GHz,16GB,256GB SSD +  1TB HDD,"15.6""",Windows,Nvidia GeForce GTX 1070,2.34,2,#REF!
V510-15IKB (i5-7200U/8GB/256GB/FHD/No,Lenovo,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,"15.6""",No OS,Intel HD Graphics 620,2.3,2,#REF!
XPS 13,Dell,Intel Core i5 7Y54 1.2GHz,8GB,256GB SSD,"13.3""",Windows,Intel HD Graphics 615,1.24,2,#REF!
Inspiron 3552,Dell,Intel Pentium Quad Core N3710 1.6GHz,4GB,500GB HDD,"15.6""",Linux,Intel HD Graphics,2.2,2,#REF!
255 G6,HP,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,"15.6""",Windows,AMD Radeon R4 Graphics,1.86,2,#REF!
IdeaPad 310-15ISK,Lenovo,Intel Core i3 6100U 2.3GHz,6GB,128GB SSD,"15.6""",Windows,Nvidia GeForce 920MX,2.4,2,#REF!
ThinkPad L460,Lenovo,Intel Core i5 6200U 2.3GHz,8GB,256GB SSD,"14.0""",Windows,Intel HD Graphics 520,1.9,2,#REF!
Inspiron 3552,Dell,Intel Pentium Quad Core N3700 1.6GHz,4GB,500GB HDD,"15.6""",Windows,Intel HD Graphics,2.2,2,#REF!
X541NA-GO020T (N3350/4GB/1TB/W10),Asus,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,"15.6""",Windows,Intel,2,2,#REF!
Rog G752VT-GC073T,Asus,Intel Core i7 6700HQ 2.6GHz,16GB,128GB SSD +  1TB HDD,"17.3""",Windows,NVIDIA GeForce GTX 970M,4,2,#REF!
Vostro 3568,Dell,Intel Core i3 6006U 2GHz,4GB,500GB HDD,"15.6""",Windows,Intel,2.29,2,#REF!
B51-80 (i7-6500U/8GB/1008GB/Radeon,Lenovo,Intel Core i7 6500U 2.5GHz,8GB,1TB Hybrid,"15.6""",Windows,AMD,2.32,2,#REF!
GE62 Apache,MSI,Intel Core i7 6700HQ 2.6GHz,8GB,128GB SSD +  1TB HDD,"15.6""",Windows,NVIDIA GeForce GTX 960M,2.4,2,#REF!
Yoga 500-14IBD,Lenovo,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,"14.0""",Windows,Intel,1.8,2,#REF!
ZenBook UX305CA-UBM1,Asus,Intel Core M 6Y30 0.9GHz,8GB,512GB SSD,"13.3""",Windows,Intel,1.2,2,#REF!
